"Index","CPALL.BK.Open","CPALL.BK.High","CPALL.BK.Low","CPALL.BK.Close","CPALL.BK.Volume","CPALL.BK.Adjusted"
"2015-01-05",42.25,43,41.5,42.5,11246900,39.724861
"2015-01-06",41.75,42.5,41,42.25,12635300,39.491184
"2015-01-07",42.5,43.25,42.5,43.25,11090200,40.425884
"2015-01-08",43.5,43.75,43,43.25,11568700,40.425884
"2015-01-09",43,43.25,42,42.25,10212100,39.491184
"2015-01-12",42.25,43.25,42,42.75,7094900,39.958534
"2015-01-13",42.25,43.5,42,43,11606100,40.192207
"2015-01-14",43.5,43.75,42.75,42.75,12478200,39.958534
"2015-01-15",43.5,43.75,43,43,11647000,40.192207
"2015-01-16",42.75,43.25,42.75,43,6160000,40.192207
"2015-01-19",43.25,43.25,42.25,43,4555600,40.192207
"2015-01-20",43,43,41.5,41.5,13757500,38.790157
"2015-01-21",41.75,42.25,41.5,42,7926600,39.257504
"2015-01-22",42.25,43,42,42.25,12495500,39.491184
"2015-01-23",42.5,43,42,42.5,11266000,39.724861
"2015-01-26",42.75,43,41.75,42,8066400,39.257504
"2015-01-27",42,42.5,41.5,41.75,10662600,39.02383
"2015-01-28",42,42.5,41,41.25,12647200,38.55648
"2015-01-29",41.75,41.75,41,41.25,7022800,38.55648
"2015-01-30",41.75,42,41.25,41.5,8409800,38.790157
"2015-02-02",41.75,42,41.25,41.75,8092500,39.02383
"2015-02-03",41.75,42.5,41.5,42.25,11941800,39.491184
"2015-02-04",42.5,42.75,42,42.25,12169800,39.491184
"2015-02-05",42.25,42.5,41.5,42,11759200,39.257504
"2015-02-06",42,42.5,41.75,42,17665800,39.257504
"2015-02-09",41.75,42,41.25,41.5,9189700,38.790157
"2015-02-10",41.25,41.75,41.25,41.25,5427100,38.55648
"2015-02-11",41.25,41.75,40.5,41.25,11398100,38.55648
"2015-02-12",41.25,41.75,40.75,41.75,4951100,39.02383
"2015-02-13",41.25,41.5,41,41.5,6510800,38.790157
"2015-02-16",41.25,41.5,41,41,6784400,38.322807
"2015-02-17",41,41.5,40.75,40.75,6477800,38.089127
"2015-02-18",40.5,41,40.5,41,8881700,38.322807
"2015-02-19",41.25,41.25,40,40,10590300,37.3881
"2015-02-20",40.25,40.5,39.75,40.25,7695100,37.62178
"2015-02-23",40.5,41,40.25,40.5,6297500,37.855453
"2015-02-24",40.5,40.75,40.25,40.5,5283900,37.855453
"2015-02-25",40.75,40.75,40,40.5,15956200,37.855453
"2015-02-26",40.75,41,40.25,40.75,14287900,38.089127
"2015-02-27",40.75,40.75,39.75,40,13468700,37.3881
"2015-03-02",40,40.25,39.25,39.5,9652800,36.92075
"2015-03-03",40.25,40.5,39.5,39.5,12947300,36.92075
"2015-03-05",39.5,40,38.75,39.5,20715600,36.92075
"2015-03-06",39.75,40,39,39.5,17637200,36.92075
"2015-03-09",39.25,39.5,38,38,28648900,35.5187
"2015-03-10",38.25,39,38,38.25,18068900,35.752377
"2015-03-11",38.25,39.25,38,39,13313400,36.453403
"2015-03-12",38.75,39.25,38,38.75,25021400,36.219723
"2015-03-13",38.75,39.25,38.25,39,12675400,36.453403
"2015-03-16",38.75,39,38.5,38.5,12423400,35.986046
"2015-03-17",38.75,38.75,38,38.25,11724400,35.752377
"2015-03-18",38,38.5,38,38.25,13471800,35.752377
"2015-03-19",38.25,38.25,38,38.25,10737200,35.752377
"2015-03-20",38.25,38.5,37.75,38.25,15621700,35.752377
